chrom	start	end	observed_overlap	p_value	bonferroni_p	significant
chr1	720360	721248	376	0.5643564356435643	1.0	False
chr1	2258919	2259087	1009	0.48514851485148514	1.0	False
chr1	3244261	3244695	2811	0.009900990099009901	1.0	False
chr1	1120941	1121226	3491	0.0297029702970297	1.0	False
chr1	3159921	3160149	2025	0.1188118811881188	1.0	False
chr1	166250	166664	1023	0.46534653465346537	1.0	False
chr1	444267	444511	358	0.6534653465346535	1.0	False
chr1	1114573	1114687	1127	0.31683168316831684	1.0	False
chr1	812141	812569	3499	0.009900990099009901	1.0	False
chr1	2655291	2655492	113	0.6831683168316832	1.0	False
chr1	402624	403352	543	0.7227722772277227	1.0	False
chr1	142355	142983	1189	0.5247524752475248	1.0	False
chr1	4041246	4041728	463	0.6534653465346535	1.0	False
chr1	4257229	4257982	1114	0.009900990099009901	1.0	False
chr1	3294501	3295061	2595	0.009900990099009901	1.0	False
chr1	2031747	2032449	1170	0.25742574257425743	1.0	False
chr1	290940	291356	619	0.504950495049505	1.0	False
chr1	703933	704452	323	0.8712871287128713	1.0	False
chr1	3292585	3293140	165	0.6732673267326733	1.0	False
chr1	2976069	2976830	422	0.6039603960396039	1.0	False
chr1	1954880	1955503	0	1.0	1.0	False
chr1	4433500	4434254	472	0.6831683168316832	1.0	False
chr1	3404649	3405624	158	0.8118811881188119	1.0	False
chr1	1145780	1146600	191	0.8415841584158416	1.0	False
chr1	2953906	2954636	815	0.5247524752475248	1.0	False
chr1	1723299	1723975	0	1.0	1.0	False
chr1	4320181	4320897	817	0.36633663366336633	1.0	False
chr1	3168960	3169959	184	0.6237623762376238	1.0	False
chr1	2219007	2219945	1444	0.19801980198019803	1.0	False
chr1	2455493	2455865	923	0.25742574257425743	1.0	False
chr1	4355814	4356148	993	0.36633663366336633	1.0	False
chr1	833528	834234	1280	0.43564356435643564	1.0	False
chr1	3109905	3110091	1971	0.1188118811881188	1.0	False
chr1	1774634	1775043	1231	0.22772277227722773	1.0	False
chr1	2984221	2984806	543	0.2079207920792079	1.0	False
chr1	1139426	1139615	0	1.0	1.0	False
chr1	1685262	1685735	1255	0.504950495049505	1.0	False
chr1	4282284	4282947	410	0.5742574257425742	1.0	False
chr1	1128117	1128659	2151	0.04950495049504951	1.0	False
chr1	279970	280678	1364	0.04950495049504951	1.0	False
chr1	2678795	2679344	327	0.8910891089108911	1.0	False
chr1	1701687	1701842	583	0.5148514851485149	1.0	False
chr1	3452050	3452172	1479	0.3465346534653465	1.0	False
chr1	3500694	3501634	2176	0.10891089108910891	1.0	False
chr1	1774307	1774700	4689	0.009900990099009901	1.0	False
chr1	1691632	1692110	1698	0.16831683168316833	1.0	False
chr1	967347	968306	2509	0.019801980198019802	1.0	False
chr1	1259878	1260323	2373	0.04950495049504951	1.0	False
chr1	2227590	2227777	88	0.8316831683168316	1.0	False
chr1	1207111	1208100	1262	0.5148514851485149	1.0	False
chr1	2877003	2877446	0	1.0	1.0	False
chr1	3162645	3163590	427	0.5247524752475248	1.0	False
chr1	3323277	3323493	569	0.6534653465346535	1.0	False
chr1	594778	595209	357	0.693069306930693	1.0	False
chr1	2291004	2291311	1115	0.009900990099009901	1.0	False
chr1	164150	164590	2977	0.0594059405940594	1.0	False
chr1	4105402	4106187	287	0.6138613861386139	1.0	False
chr1	365338	366238	542	0.44554455445544555	1.0	False
chr1	534304	535096	888	0.009900990099009901	1.0	False
chr1	3915239	3915754	1707	0.10891089108910891	1.0	False
chr1	71720	71913	222	0.8217821782178217	1.0	False
chr1	213718	214382	659	0.6633663366336634	1.0	False
chr1	4230824	4231609	82	0.9306930693069307	1.0	False
chr1	1855485	1855693	720	0.38613861386138615	1.0	False
chr1	1101152	1101437	818	0.009900990099009901	1.0	False
chr1	1682472	1683360	2104	0.019801980198019802	1.0	False
chr1	1100905	1101193	0	1.0	1.0	False
chr1	4318258	4318591	540	0.48514851485148514	1.0	False
chr1	3839506	3840063	616	0.5841584158415841	1.0	False
chr1	3234917	3235059	1253	0.15841584158415842	1.0	False
chr1	1729267	1729665	2470	0.019801980198019802	1.0	False
chr1	4161415	4162411	487	0.22772277227722773	1.0	False
chr1	2140566	2141393	2043	0.009900990099009901	1.0	False
chr1	1491194	1491559	0	1.0	1.0	False
chr1	265009	265207	58	0.7920792079207921	1.0	False
chr1	3556696	3557178	0	1.0	1.0	False
chr1	4163691	4164580	1163	0.009900990099009901	1.0	False
chr1	2701939	2702387	2121	0.10891089108910891	1.0	False
chr1	332114	333064	1546	0.009900990099009901	1.0	False
chr1	3569142	3569380	1315	0.44554455445544555	1.0	False
chr1	4339701	4340303	1077	0.06930693069306931	1.0	False
chr1	4432241	4432940	936	0.1782178217821782	1.0	False
chr1	4407151	4407980	1149	0.45544554455445546	1.0	False
chr1	3321444	3322174	716	0.43564356435643564	1.0	False
chr1	4188281	4188942	1360	0.09900990099009901	1.0	False
chr1	3399103	3399382	1344	0.07920792079207921	1.0	False
chr1	4078044	4078309	7	0.9702970297029703	1.0	False
chr1	4057884	4058498	504	0.801980198019802	1.0	False
chr1	4252978	4253760	824	0.24752475247524752	1.0	False
chr1	4352432	4352835	228	0.7722772277227723	1.0	False
chr1	2383322	2383869	1894	0.07920792079207921	1.0	False
chr1	3785296	3786057	528	0.6633663366336634	1.0	False
chr1	1493333	1493887	813	0.019801980198019802	1.0	False
chr1	3684162	3684469	212	0.5346534653465347	1.0	False
chr1	3852746	3853467	535	0.06930693069306931	1.0	False
chr1	2651605	2652162	2493	0.009900990099009901	1.0	False
chr1	1419582	1420437	1379	0.009900990099009901	1.0	False
chr1	1777264	1778103	59	0.7623762376237624	1.0	False
chr1	3249622	3250184	151	0.8514851485148515	1.0	False
chr1	2055982	2056297	223	0.8415841584158416	1.0	False
